Entry,Gene.names...primary..,Entry.name,Protein.names,Transmembrane,Passes,membrane,singlepass,multipass,GPI-anchored
A8K4G0,CD300LB,CLM7_HUMAN,CMRF35-like molecule 7 (CLM-7) (CD300 antigen-like family member B) (CMRF35-A2) (Immune receptor expressed on myeloid cells 3) (IREM-3) (Leukocyte mono-Ig-like receptor 5) (Triggering receptor expressed on myeloid cells 5) (TREM-5) (CD antigen CD300b),TRANSMEM 152 172 Helical. {ECO:0000255}.,1,+,+,NA,NA
A8MVS5,HIDE1,HIDE1_HUMAN,Protein HIDE1,TRANSMEM 118 138 Helical. {ECO:0000255}.,1,+,+,NA,NA
A8MVW0,FAM171A2,F1712_HUMAN,Protein FAM171A2,TRANSMEM 316 336 Helical. {ECO:0000255}.,1,+,+,NA,NA
A8MVW5,HEPACAM2,HECA2_HUMAN,HEPACAM family member 2 (Mitotic kinetics regulator),TRANSMEM 352 372 Helical. {ECO:0000255}.,1,+,+,NA,NA
A8MVZ5,BTNL10,BTNLA_HUMAN,Butyrophilin-like protein 10,TRANSMEM 255 275 Helical. {ECO:0000255}.,1,+,+,NA,NA
A8MWY0,KIAA1324L,K132L_HUMAN,UPF0577 protein KIAA1324-like (Estrogen-induced gene 121-like protein) (hEIG121L),TRANSMEM 930 950 Helical. {ECO:0000255}.,1,+,+,NA,NA
A8MXK1,VSTM5,VSTM5_HUMAN,V-set and transmembrane domain-containing protein 5,TRANSMEM 148 168 Helical. {ECO:0000255}.,1,+,+,NA,NA
A8MXV6,CDRT15L2,CD15L_HUMAN,CMT1A duplicated region transcript 15 protein-like protein,TRANSMEM 207 227 Helical. {ECO:0000255}.,1,+,+,NA,NA
A8MYB1,TMCO5B,TMC5B_HUMAN,Transmembrane and coiled-coil domain-containing protein 5B,TRANSMEM 243 265 Helical. {ECO:0000255}.,1,+,+,NA,NA
A8MZ97,C2orf74,CB074_HUMAN,Uncharacterized protein C2orf74,TRANSMEM 15 35 Helical. {ECO:0000255}.,1,+,+,NA,NA
A9Z1Z3,FER1L4,FR1L4_HUMAN,Fer-1-like protein 4,TRANSMEM 1761 1781 Helical. {ECO:0000255}.,1,+,+,NA,NA
B0FP48,UPK3BL1,UPK3L_HUMAN,Uroplakin-3b-like protein 1,TRANSMEM 205 225 Helical. {ECO:0000255}.,1,+,+,NA,NA
B2RTY4,MYO9A,MYO9A_HUMAN,Unconventional myosin-IXa (Unconventional myosin-9a),TRANSMEM 175 195 Helical. {ECO:0000255}.,1,+,+,NA,NA
B2RUZ4,SMIM1,SMIM1_HUMAN,Small integral membrane protein 1 (Vel blood group antigen),TRANSMEM 47 67 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
B4DS77,SHISA9,SHSA9_HUMAN,Protein shisa-9,TRANSMEM 150 170 Helical. {ECO:0000255}.,1,+,+,NA,NA
B4DYI2,SPATA31C2,S31C2_HUMAN,Spermatogenesis-associated protein 31C2 (Protein FAM75C2),TRANSMEM 23 43 Helical. {ECO:0000255}.,1,+,+,NA,NA
B6A8C7,TARM1,TARM1_HUMAN,"T-cell-interacting, activating receptor on myeloid cells protein 1 (OSCAR-like transcript-2 protein) (OLT-2)",TRANSMEM 237 257 Helical. {ECO:0000255}.,1,+,+,NA,NA
B6SEH8,ERVV-1,ERVV1_HUMAN,Endogenous retrovirus group V member 1 Env polyprotein (HERV-V_19q13.41 provirus ancestral Env polyprotein 1),TRANSMEM 322 342 Helical. {ECO:0000255}.,1,+,+,NA,NA
B7Z8K6,TRDC,TRDC_HUMAN,T-cell receptor delta chain C region,TRANSMEM 130 152 Helical. {ECO:0000255}.,1,+,+,NA,NA
B8ZZ34,SHISA8,SHSA8_HUMAN,Putative protein shisa-8,TRANSMEM 139 159 Helical. {ECO:0000255}.,1,+,+,NA,NA
C9JVW0,INAFM1,INAM1_HUMAN,Putative transmembrane protein INAFM1 (InaF-motif-containing protein 1) (Proline-rich protein 24),TRANSMEM 36 56 Helical. {ECO:0000255}.,1,+,+,NA,NA
D3W0D1,KLRF2,KLRF2_HUMAN,Killer cell lectin-like receptor subfamily F member 2 (Lectin-like receptor F2) (Activating coreceptor NKp65),TRANSMEM 31 51 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
E2RYF6,MUC22,MUC22_HUMAN,Mucin-22 (Panbronchiolitis-related mucin-like protein 1),TRANSMEM 1661 1681 Helical. {ECO:0000255}.,1,+,+,NA,NA
E7ERA6,RNF223,RN223_HUMAN,RING finger protein 223,TRANSMEM 199 219 Helical. {ECO:0000255}.,1,+,+,NA,NA
E9PQ53,NDUFC2-KCTD14,NDUCR_HUMAN,"NADH dehydrogenase [ubiquinone] 1 subunit C2, isoform 2 (NDUFC2-KCTD14 readthrough transcript protein)",TRANSMEM 56 75 Helical. {ECO:0000255}.,1,+,+,NA,NA
F2Z333,FNDC10,FND10_HUMAN,Fibronectin type III domain-containing protein 10,TRANSMEM 183 203 Helical. {ECO:0000255}.,1,+,+,NA,NA
F5H4A9,C3orf80,CC080_HUMAN,Uncharacterized membrane protein C3orf80,TRANSMEM 82 102 Helical. {ECO:0000255}.,1,+,+,NA,NA
F7VJQ1,PRNP,APRIO_HUMAN,Alternative prion protein (AltPrP),TRANSMEM 32 52 Helical. {ECO:0000255}.,1,+,+,NA,NA
H3BV60,TGFBR3L,TGR3L_HUMAN,Transforming growth factor-beta receptor type 3-like protein (TGF-beta receptor type-3-like protein) (TGFR-3L) (Transforming growth factor-beta receptor type III-like protein) (TGF-beta receptor type III-like protein),TRANSMEM 269 289 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00168,FXYD1,PLM_HUMAN,Phospholemman (FXYD domain-containing ion transport regulator 1) (Sodium/potassium-transporting ATPase subunit FXYD1),TRANSMEM 36 56 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00198,HRK,HRK_HUMAN,Activator of apoptosis harakiri (BH3-interacting domain-containing protein 3) (Neuronal death protein DP5),TRANSMEM 69 87 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00206,TLR4,TLR4_HUMAN,Toll-like receptor 4 (hToll) (CD antigen CD284),TRANSMEM 632 652 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00220,TNFRSF10A,TR10A_HUMAN,Tumor necrosis factor receptor superfamily member 10A (Death receptor 4) (TNF-related apoptosis-inducing ligand receptor 1) (TRAIL receptor 1) (TRAIL-R1) (CD antigen CD261),TRANSMEM 240 262 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00238,BMPR1B,BMR1B_HUMAN,Bone morphogenetic protein receptor type-1B (BMP type-1B receptor) (BMPR-1B) (EC 2.7.11.30) (CD antigen CDw293),TRANSMEM 127 148 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00241,SIRPB1,SIRB1_HUMAN,Signal-regulatory protein beta-1 (SIRP-beta-1) (CD172 antigen-like family member B) (CD antigen CD172b),TRANSMEM 372 392 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00264,PGRMC1,PGRC1_HUMAN,Membrane-associated progesterone receptor component 1 (mPR) (Dap1) (IZA),TRANSMEM 25 43 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00299,CLIC1,CLIC1_HUMAN,Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC),TRANSMEM 26 46 Helical; Note=After insertion into the membrane. {ECO:0000255}.,1,+,+,NA,NA
O00391,QSOX1,QSOX1_HUMAN,Sulfhydryl oxidase 1 (hQSOX) (EC 1.8.3.2) (Quiescin Q6),TRANSMEM 710 730 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00445,SYT5,SYT5_HUMAN,Synaptotagmin-5 (Synaptotagmin V) (SytV),TRANSMEM 25 45 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00453,LST1,LST1_HUMAN,Leukocyte-specific transcript 1 protein (Protein B144),TRANSMEM 8 28 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00461,GOLIM4,GOLI4_HUMAN,"Golgi integral membrane protein 4 (Golgi integral membrane protein, cis) (GIMPc) (Golgi phosphoprotein 4) (Golgi-localized phosphoprotein of 130 kDa) (Golgi phosphoprotein of 130 kDa)",TRANSMEM 13 33 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
O00478,BTN3A3,BT3A3_HUMAN,Butyrophilin subfamily 3 member A3,TRANSMEM 249 269 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00481,BTN3A1,BT3A1_HUMAN,Butyrophilin subfamily 3 member A1 (CD antigen CD277),TRANSMEM 255 271 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00519,FAAH,FAAH1_HUMAN,Fatty-acid amide hydrolase 1 (EC 3.5.1.99) (Anandamide amidohydrolase 1) (Oleamide hydrolase 1),TRANSMEM 9 29 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00526,UPK2,UPK2_HUMAN,Uroplakin-2 (UP2) (Uroplakin II) (UPII),TRANSMEM 156 176 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00533,CHL1,NCHL1_HUMAN,Neural cell adhesion molecule L1-like protein (Close homolog of L1) [Cleaved into: Processed neural cell adhesion molecule L1-like protein],TRANSMEM 1083 1103 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00548,DLL1,DLL1_HUMAN,Delta-like protein 1 (Drosophila Delta homolog 1) (Delta1) (H-Delta-1),TRANSMEM 546 568 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00559,EBAG9,RCAS1_HUMAN,Receptor-binding cancer antigen expressed on SiSo cells (Cancer-associated surface antigen RCAS1) (Estrogen receptor-binding fragment-associated gene 9 protein),TRANSMEM 7 27 Helical; Signal-anchor for type III membrane protein. {ECO:0000255}.,1,+,+,NA,NA
O00587,MFNG,MFNG_HUMAN,"Beta-1,3-N-acetylglucosaminyltransferase manic fringe (EC 2.4.1.222) (O-fucosylpeptide 3-beta-N-acetylglucosaminyltransferase)",TRANSMEM 8 27 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
O00592,PODXL,PODXL_HUMAN,Podocalyxin (GCTM-2 antigen) (Gp200) (Podocalyxin-like protein 1) (PC) (PCLP-1),TRANSMEM 462 482 Helical. {ECO:0000255}.,1,+,+,NA,NA
O00631,SLN,SARCO_HUMAN,Sarcolipin,TRANSMEM 8 26 Helical.,1,+,+,NA,NA
O14511,NRG2,NRG2_HUMAN,"Pro-neuregulin-2, membrane-bound isoform (Pro-NRG2) [Cleaved into: Neuregulin-2 (NRG-2) (Divergent of neuregulin-1) (DON-1) (Neural- and thymus-derived activator for ERBB kinases) (NTAK)]",TRANSMEM 406 426 Helical; Note=Internal signal sequence. {ECO:0000255}.,1,+,+,NA,NA
O14522,PTPRT,PTPRT_HUMAN,Receptor-type tyrosine-protein phosphatase T (R-PTP-T) (EC 3.1.3.48) (Receptor-type tyrosine-protein phosphatase rho) (RPTP-rho),TRANSMEM 748 768 Helical. {ECO:0000255}.,1,+,+,NA,NA
O14523,C2CD2L,C2C2L_HUMAN,Phospholipid transfer protein C2CD2L (C2 domain-containing protein 2-like) (Transmembrane protein 24),TRANSMEM 10 30 Helical. {ECO:0000255}.,1,+,+,NA,NA
O14638,ENPP3,ENPP3_HUMAN,Ectonucleotide pyrophosphatase/phosphodiesterase family member 3 (E-NPP 3) (Phosphodiesterase I beta) (PD-Ibeta) (Phosphodiesterase I/nucleotide pyrophosphatase 3) (CD antigen CD203c) [Includes: Alkaline phosphodiesterase I (EC 3.1.4.1); Nucleotide pyrophosphatase (NPPase) (EC 3.6.1.9) (Nucleotide diphosphatase)],TRANSMEM 12 30 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
O14653,GOSR2,GOSR2_HUMAN,Golgi SNAP receptor complex member 2 (27 kDa Golgi SNARE protein) (Membrin),TRANSMEM 191 211 Helical; Anchor for type IV membrane protein. {ECO:0000255}.,1,+,+,NA,NA
O14662,STX16,STX16_HUMAN,Syntaxin-16 (Syn16),TRANSMEM 302 322 Helical; Anchor for type IV membrane protein. {ECO:0000255}.,1,+,+,NA,NA
O14668,PRRG1,TMG1_HUMAN,Transmembrane gamma-carboxyglutamic acid protein 1 (Proline-rich gamma-carboxyglutamic acid protein 1) (Proline-rich Gla protein 1),TRANSMEM 84 106 Helical. {ECO:0000255}.,1,+,+,NA,NA
O14669,PRRG2,TMG2_HUMAN,Transmembrane gamma-carboxyglutamic acid protein 2 (Proline-rich gamma-carboxyglutamic acid protein 2) (Proline-rich Gla protein 2),TRANSMEM 110 132 Helical. {ECO:0000255}.,1,+,+,NA,NA
O14672,ADAM10,ADA10_HUMAN,Disintegrin and metalloproteinase domain-containing protein 10 (ADAM 10) (EC 3.4.24.81) (CDw156) (Kuzbanian protein homolog) (Mammalian disintegrin-metalloprotease) (CD antigen CD156c),TRANSMEM 673 693 Helical. {ECO:0000255}.,1,+,+,NA,NA
O14763,TNFRSF10B,TR10B_HUMAN,Tumor necrosis factor receptor superfamily member 10B (Death receptor 5) (TNF-related apoptosis-inducing ligand receptor 2) (TRAIL receptor 2) (TRAIL-R2) (CD antigen CD262),TRANSMEM 211 231 Helical. {ECO:0000255}.,1,+,+,NA,NA
O14786,NRP1,NRP1_HUMAN,Neuropilin-1 (Vascular endothelial cell growth factor 165 receptor) (CD antigen CD304),TRANSMEM 857 879 Helical. {ECO:0000255}.,1,+,+,NA,NA
O14788,TNFSF11,TNF11_HUMAN,"Tumor necrosis factor ligand superfamily member 11 (Osteoclast differentiation factor) (ODF) (Osteoprotegerin ligand) (OPGL) (Receptor activator of nuclear factor kappa-B ligand) (RANKL) (TNF-related activation-induced cytokine) (TRANCE) (CD antigen CD254) [Cleaved into: Tumor necrosis factor ligand superfamily member 11, membrane form; Tumor necrosis factor ligand superfamily member 11, soluble form]",TRANSMEM 48 68 Helical; Signal-anchor for type II membrane protein. {ECO:0000255}.,1,+,+,NA,NA
O14836,TNFRSF13B,TR13B_HUMAN,Tumor necrosis factor receptor superfamily member 13B (Transmembrane activator and CAML interactor) (CD antigen CD267),TRANSMEM 166 186 Helical; Signal-anchor for type III membrane protein. {ECO:0000255}.,1,+,+,NA,NA
O14917,PCDH17,PCD17_HUMAN,Protocadherin-17 (Protocadherin-68),TRANSMEM 708 728 Helical. {ECO:0000255}.,1,+,+,NA,NA
O14931,NCR3,NCTR3_HUMAN,Natural cytotoxicity triggering receptor 3 (Activating natural killer receptor p30) (Natural killer cell p30-related protein) (NK-p30) (NKp30) (CD antigen CD337),TRANSMEM 136 156 Helical. {ECO:0000255}.,1,+,+,NA,NA
O14944,EREG,EREG_HUMAN,Proepiregulin [Cleaved into: Epiregulin (EPR)],TRANSMEM 120 140 Helical. {ECO:0000255}.,1,+,+,NA,NA
O14957,UQCR11,QCR10_HUMAN,Cytochrome b-c1 complex subunit 10 (Complex III subunit 10) (Complex III subunit XI) (Ubiquinol-cytochrome c reductase complex 6.4 kDa protein),TRANSMEM 16 36 Helical. {ECO:0000255}.,1,+,+,NA,NA
O14967,CLGN,CLGN_HUMAN,Calmegin,TRANSMEM 472 492 Helical. {ECO:0000255}.,1,+,+,NA,NA
O15031,PLXNB2,PLXB2_HUMAN,Plexin-B2 (MM1),TRANSMEM 1198 1218 Helical. {ECO:0000255}.,1,+,+,NA,NA
O15079,SNPH,SNPH_HUMAN,Syntaphilin,TRANSMEM 425 444 Helical. {ECO:0000255}.,1,+,+,NA,NA
O15146,MUSK,MUSK_HUMAN,"Muscle, skeletal receptor tyrosine-protein kinase (EC 2.7.10.1) (Muscle-specific tyrosine-protein kinase receptor) (MuSK) (Muscle-specific kinase receptor)",TRANSMEM 496 516 Helical. {ECO:0000255}.,1,+,+,NA,NA
O15155,BET1,BET1_HUMAN,BET1 homolog (hBET1) (Golgi vesicular membrane-trafficking protein p18),TRANSMEM 95 115 Helical; Anchor for type IV membrane protein. {ECO:0000255}.,1,+,+,NA,NA
O15162,PLSCR1,PLS1_HUMAN,Phospholipid scramblase 1 (PL scramblase 1) (Ca(2+)-dependent phospholipid scramblase 1) (Erythrocyte phospholipid scramblase) (MmTRA1b),TRANSMEM 289 305 Helical. {ECO:0000255}.,1,+,+,NA,NA
O15165,LDLRAD4,LRAD4_HUMAN,Low-density lipoprotein receptor class A domain-containing protein 4,TRANSMEM 65 85 Helical. {ECO:0000255}.,1,+,+,NA,NA
O15173,PGRMC2,PGRC2_HUMAN,Membrane-associated progesterone receptor component 2 (Progesterone membrane-binding protein) (Steroid receptor protein DG6),TRANSMEM 42 66 Helical. {ECO:0000255}.,1,+,+,NA,NA
O15197,EPHB6,EPHB6_HUMAN,Ephrin type-B receptor 6 (HEP) (Tyrosine-protein kinase-defective receptor EPH-6),TRANSMEM 595 615 Helical. {ECO:0000255}.,1,+,+,NA,NA
O15239,NDUFA1,NDUA1_HUMAN,NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 1 (Complex I-MWFE) (CI-MWFE) (NADH-ubiquinone oxidoreductase MWFE subunit),TRANSMEM 1 21 Helical. {ECO:0000255}.,1,+,+,NA,NA
O15247,CLIC2,CLIC2_HUMAN,Chloride intracellular channel protein 2 (XAP121),TRANSMEM 32 52 Helical; Note=After insertion into the membrane. {ECO:0000255}.,1,+,+,NA,NA
O15269,SPTLC1,SPTC1_HUMAN,Serine palmitoyltransferase 1 (EC 2.3.1.50) (Long chain base biosynthesis protein 1) (LCB 1) (Serine-palmitoyl-CoA transferase 1) (SPT 1) (SPT1),TRANSMEM 16 36 Helical. {ECO:0000255}.,1,+,+,NA,NA
O15270,SPTLC2,SPTC2_HUMAN,Serine palmitoyltransferase 2 (EC 2.3.1.50) (Long chain base biosynthesis protein 2) (LCB 2) (Long chain base biosynthesis protein 2a) (LCB2a) (Serine-palmitoyl-CoA transferase 2) (SPT 2),TRANSMEM 67 87 Helical. {ECO:0000255}.,1,+,+,NA,NA
