Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides JEKO-KO1	Peptides JEKO-KO2	Peptides JEKO-KO3	Peptides JEKO-WT1	Peptides JEKO-WT2	Peptides JEKO-WT3	Razor + unique peptides JEKO-KO1	Razor + unique peptides JEKO-KO2	Razor + unique peptides JEKO-KO3	Razor + unique peptides JEKO-WT1	Razor + unique peptides JEKO-WT2	Razor + unique peptides JEKO-WT3	Unique peptides JEKO-KO1	Unique peptides JEKO-KO2	Unique peptides JEKO-KO3	Unique peptides JEKO-WT1	Unique peptides JEKO-WT2	Unique peptides JEKO-WT3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type JEKO-KO1	Identification type JEKO-KO2	Identification type JEKO-KO3	Identification type JEKO-WT1	Identification type JEKO-WT2	Identification type JEKO-WT3	Sequence coverage JEKO-KO1 [%]	Sequence coverage JEKO-KO2 [%]	Sequence coverage JEKO-KO3 [%]	Sequence coverage JEKO-WT1 [%]	Sequence coverage JEKO-WT2 [%]	Sequence coverage JEKO-WT3 [%]	Intensity	Intensity JEKO-KO1	Intensity JEKO-KO2	Intensity JEKO-KO3	Intensity JEKO-WT1	Intensity JEKO-WT2	Intensity JEKO-WT3	iBAQ	iBAQ JEKO-KO1	iBAQ JEKO-KO2	iBAQ JEKO-KO3	iBAQ JEKO-WT1	iBAQ JEKO-WT2	iBAQ JEKO-WT3	LFQ intensity JEKO-KO1	LFQ intensity JEKO-KO2	LFQ intensity JEKO-KO3	LFQ intensity JEKO-WT1	LFQ intensity JEKO-WT2	LFQ intensity JEKO-WT3	MS/MS Count JEKO-KO1	MS/MS Count JEKO-KO2	MS/MS Count JEKO-KO3	MS/MS Count JEKO-WT1	MS/MS Count JEKO-WT2	MS/MS Count JEKO-WT3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P55036|PSMD4_HUMAN	sp|P55036|PSMD4_HUMAN	2	2	1	>sp|P55036|PSMD4_HUMAN 26S proteasome non-ATPase regulatory subunit 4 OS=Homo sapiens GN=PSMD4 PE=1 SV=1	1	2	2	1	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	1	1	1	7.7	7.7	4.8	40.736	377	377	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.7	7.7	7.7	7.7	7.7	7.7	9748700	1593700	1567500	1367400	1830700	1787400	1602100	696340	113830	111960	97669	130770	127670	114430	1777700	1198200	1437400	1636900	1301300	1262800	2	1	2	1	1	1	8				1201	8586;12560	True;True	8823;12875	52683;52684;52685;52686;52687;52688;77456;77457;77458;77459;77460;77461	51452;51453;51454;51455;51456;51457;75857;75858	51452;75857		
sp|P55060|XPO2_HUMAN	sp|P55060|XPO2_HUMAN	20	20	20	>sp|P55060|XPO2_HUMAN Exportin-2 OS=Homo sapiens GN=CSE1L PE=1 SV=3	1	20	20	20	13	17	14	17	17	16	13	17	14	17	17	16	13	17	14	17	17	16	23.3	23.3	23.3	110.42	971	971	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	15.9	20.5	17.4	19.4	20	18.4	263460000	54519000	48089000	26059000	36797000	56950000	41042000	5066500	1048400	924790	501130	707640	1095200	789260	27796000	43991000	37420000	38855000	44854000	34842000	7	14	12	16	16	13	78				1202	56;1263;1403;2791;5600;8554;8643;9448;9774;10190;11744;11785;13227;16460;17728;18403;18788;19025;20745;22258	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	58;1292;1443;2869;5768;8790;8881;9709;10040;10041;10466;12037;12080;13588;17002;18306;18994;19392;19640;21408;22964	305;306;307;308;309;310;7577;7578;7579;8414;8415;16851;16852;16853;16854;16855;16856;34135;34136;34137;34138;34139;34140;52494;52495;52496;52497;53029;57964;60057;60058;60059;60060;60061;60062;60063;60064;62856;62857;62858;62859;62860;72383;72384;72385;72386;72387;72388;72389;72390;72673;72674;72675;81532;81533;81534;81535;81536;81537;102408;102409;102410;102411;102412;110077;110078;110079;110080;110081;110082;114217;114218;114219;114220;114221;114222;116513;116514;116515;116516;116517;118090;118091;118092;118093;118094;128727;128728;128729;128730;128731;128732;138033;138034;138035;138036;138037;138038	256;257;258;259;260;261;7176;7952;16264;16265;16266;16267;16268;16269;16270;16271;16272;16273;16274;16275;16276;16277;33208;51323;51324;51325;51326;51800;56960;58900;58901;58902;58903;58904;58905;58906;58907;58908;58909;58910;58911;58912;58913;58914;58915;61386;61387;61388;70867;70868;70869;70870;70871;71133;79566;99803;99804;99805;99806;99807;99808;99809;99810;107316;107317;107318;107319;111495;111496;111497;111498;114081;115658;115659;126742;126743;126744;126745;126746;126747;126748;126749;135933	260;7176;7952;16267;33208;51325;51800;56960;58906;61388;70868;71133;79566;99805;107316;111498;114081;115658;126749;135933	533	920
sp|P55072|TERA_HUMAN	sp|P55072|TERA_HUMAN	27	27	27	>sp|P55072|TERA_HUMAN Transitional endoplasmic reticulum ATPase OS=Homo sapiens GN=VCP PE=1 SV=4	1	27	27	27	27	23	21	27	23	25	27	23	21	27	23	25	27	23	21	27	23	25	32.3	32.3	32.3	89.321	806	806	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	32.3	28	24.9	32.3	29.5	30.5	343790000	78126000	34868000	31409000	93828000	51206000	54357000	7639900	1736100	774840	697990	2085100	1137900	1207900	85479000	22168000	32022000	98862000	31749000	39627000	28	10	9	31	13	14	105				1203	597;867;923;2631;4398;4570;4571;4609;4748;4749;4773;5242;6057;6072;6345;10343;10344;10659;13114;13705;15397;15649;15650;16222;18233;21900;22179	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	608;888;944;2707;2708;4522;4699;4700;4738;4884;4885;4912;5399;6235;6250;6528;10619;10620;10937;13456;14150;15904;16164;16165;16755;18819;22597;22881;22882	3422;3423;3424;3425;3426;3427;5160;5161;5162;5460;5461;5462;5463;5464;5465;15911;15912;15913;15914;15915;15916;15917;15918;15919;26777;26778;26779;27769;27770;27771;27772;27773;27774;27775;27964;27965;27966;27967;27968;27969;27970;27971;27972;27973;27974;27975;27976;27977;28860;28861;28862;28863;28864;28865;28866;28867;28868;28869;28870;28871;28872;29075;29076;29077;29078;29079;29080;31907;31908;31909;31910;31911;31912;31913;36942;36943;36944;36945;36946;36947;37031;37032;37033;37034;37035;37036;38698;38699;38700;38701;38702;38703;63823;63824;63825;63826;63827;63828;63829;63830;63831;63832;63833;63834;63835;63836;63837;63838;63839;63840;65736;65737;65738;65739;65740;65741;80781;80782;80783;80784;80785;80786;84819;84820;84821;84822;84823;84824;95255;95256;95257;95258;95259;96907;96908;96909;96910;96911;96912;96913;96914;96915;96916;96917;100818;100819;100820;100821;100822;100823;113182;113183;113184;113185;113186;113187;135780;135781;135782;135783;135784;135785;137501;137502;137503;137504;137505;137506;137507;137508;137509	3317;3318;3319;4949;5228;5229;15405;15406;25770;25771;26631;26632;26792;26793;26794;26795;26796;26797;26798;26799;26800;26801;26802;26803;26804;26805;26806;26807;26808;26809;26810;27749;27750;27751;28054;28055;28056;28057;28058;30982;30983;35800;35801;35802;35803;35804;35805;35868;35869;35870;35871;37561;37562;62404;62405;62406;62407;62408;62409;62410;62411;62412;62413;62414;62415;62416;64399;64400;64401;64402;64403;64404;78920;78921;78922;78923;78924;78925;82601;82602;82603;82604;92857;92858;94608;94609;94610;94611;98202;110434;110435;110436;110437;133533;133534;133535;133536;133537;133538;133539;135219;135220;135221;135222;135223;135224;135225;135226	3317;4949;5228;15405;25770;26631;26632;26806;27750;27751;28058;30982;35804;35868;37561;62404;62411;64399;78920;82603;92858;94608;94610;98202;110434;133536;135222	534;535	740;757
sp|P55084|ECHB_HUMAN	sp|P55084|ECHB_HUMAN	20	20	20	>sp|P55084|ECHB_HUMAN Trifunctional enzyme subunit beta, mitochondrial OS=Homo sapiens GN=HADHB PE=1 SV=3	1	20	20	20	19	20	20	17	19	20	19	20	20	17	19	20	19	20	20	17	19	20	51.1	51.1	51.1	51.294	474	474	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	46.8	51.1	51.1	44.9	50.8	51.1	616340000	67462000	165670000	108240000	68453000	95141000	111380000	23705000	2594700	6371800	4163200	2632800	3659300	4283700	70643000	113700000	96112000	77528000	72681000	88769000	23	32	26	25	25	29	160				1204	154;1029;1327;1527;2153;2506;2865;2983;3051;5505;5511;9627;10257;10844;11473;11876;12844;14716;19302;20516	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	156;1054;1361;1571;2219;2579;2946;3069;3144;5671;5677;9889;10533;11124;11763;12175;13165;15210;19929;21168	855;856;857;858;859;860;6159;6160;6161;6162;6163;6164;7987;7988;7989;7990;7991;7992;9226;9227;9228;9229;9230;9231;13068;13069;13070;13071;13072;13073;15128;15129;15130;15131;15132;15133;17346;17347;17348;17349;17350;17351;17352;18105;18106;18107;18108;18109;18110;18111;18112;18113;18114;18115;18116;18540;18541;18542;18543;18544;18545;33594;33595;33596;33597;33598;33599;33625;33626;33627;33628;59075;59076;59077;59078;63325;63326;63327;63328;63329;63330;66789;66790;66791;66792;66793;66794;66795;66796;66797;66798;66799;66800;70701;70702;70703;70704;70705;70706;73264;73265;73266;73267;73268;73269;73270;73271;73272;73273;73274;79154;79155;79156;79157;79158;91274;91275;91276;91277;91278;91279;119812;119813;119814;119815;119816;119817;127265;127266;127267;127268;127269;127270	751;752;753;754;755;756;757;758;6005;7606;7607;7608;7609;7610;8809;12697;12698;14639;14640;14641;14642;14643;14644;14645;14646;14647;14648;16820;16821;16822;16823;16824;16825;16826;16827;16828;16829;16830;17442;17443;17444;17445;17446;17447;17448;17449;17450;17451;17452;17453;17454;17455;17456;17457;17458;17459;17862;17863;17864;17865;17866;17867;32615;32616;32617;32618;32619;32633;32634;57946;57947;61868;61869;61870;61871;61872;61873;61874;61875;61876;61877;61878;65455;65456;65457;65458;65459;65460;65461;65462;65463;65464;65465;65466;65467;65468;65469;65470;65471;65472;65473;65474;65475;65476;65477;65478;65479;69202;71729;71730;71731;71732;71733;71734;71735;71736;71737;71738;71739;71740;71741;77427;77428;77429;89054;89055;89056;89057;89058;89059;89060;89061;89062;89063;89064;89065;89066;89067;89068;89069;89070;89071;89072;89073;117354;117355;117356;117357;117358;117359;117360;125291;125292;125293;125294;125295;125296;125297;125298;125299;125300	758;6005;7609;8809;12698;14642;16826;17449;17864;32618;32633;57947;61878;65465;69202;71740;77427;89064;117357;125299		
sp|P55160|NCKPL_HUMAN	sp|P55160|NCKPL_HUMAN	11	11	11	>sp|P55160|NCKPL_HUMAN Nck-associated protein 1-like OS=Homo sapiens GN=NCKAP1L PE=1 SV=3	1	11	11	11	10	8	9	11	11	11	10	8	9	11	11	11	10	8	9	11	11	11	10.9	10.9	10.9	128.15	1127	1127	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	9.3	7.8	8.7	10.9	10.9	10.9	121310000	18270000	17157000	18381000	17715000	24994000	24794000	1925600	290000	272340	291760	281190	396720	393560	19111000	14576000	19233000	16826000	17225000	18681000	6	7	8	11	5	8	45				1205	1020;1464;3851;3981;12588;14531;17182;17396;17446;21101;21517	True;True;True;True;True;True;True;True;True;True;True	1045;1507;3962;4094;12904;15015;17742;17963;18014;21776;22203	6110;6111;6112;6113;6114;6115;8838;8839;8840;8841;8842;8843;23449;23450;23451;24252;24253;24254;24255;24256;24257;77600;77601;77602;77603;77604;77605;90134;90135;90136;90137;90138;90139;90140;90141;90142;90143;90144;90145;106813;106814;106815;106816;106817;106818;108099;108100;108101;108102;108103;108104;108105;108404;108405;108406;108407;130899;130900;130901;130902;130903;130904;133485;133486;133487;133488;133489	5979;8394;8395;8396;8397;22502;22503;23311;23312;23313;23314;23315;23316;23317;23318;75956;75957;87849;87850;87851;87852;87853;87854;87855;87856;87857;87858;87859;87860;104190;104191;104192;104193;105398;105399;105400;105401;105402;105403;105404;105405;105406;105407;105730;105731;128754;131194	5979;8397;22503;23312;75956;87854;104190;105406;105731;128754;131194		
sp|P55209|NP1L1_HUMAN	sp|P55209|NP1L1_HUMAN	5	5	3	>sp|P55209|NP1L1_HUMAN Nucleosome assembly protein 1-like 1 OS=Homo sapiens GN=NAP1L1 PE=1 SV=1	1	5	5	3	5	4	4	5	5	5	5	4	4	5	5	5	3	3	3	3	3	3	13	13	10.2	45.374	391	391	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13	13	13	13	13	13	68179000	16929000	6416200	7269000	18283000	10744000	8538300	4870000	1209200	458300	519220	1305900	767410	609880	16132000	4467600	7996600	20167000	7347000	6400800	4	3	4	9	4	6	30				1206	5861;5862;6506;14622;22083	True;True;True;True;True	6037;6038;6691;15112;22784	35745;35746;35747;35748;35749;35750;35751;35752;35753;35754;35755;35756;35757;35758;35759;35760;35761;39722;39723;39724;39725;39726;39727;90670;90671;90672;90673;90674;90675;136868;136869;136870;136871;136872;136873	34724;34725;34726;34727;34728;34729;34730;34731;34732;34733;34734;34735;34736;34737;34738;34739;34740;34741;34742;34743;38713;38714;88350;88351;88352;88353;88354;88355;134451;134452;134453	34724;34741;38713;88353;134451		
sp|P55265|DSRAD_HUMAN	sp|P55265|DSRAD_HUMAN	28	28	28	>sp|P55265|DSRAD_HUMAN Double-stranded RNA-specific adenosine deaminase OS=Homo sapiens GN=ADAR PE=1 SV=4	1	28	28	28	25	25	26	23	24	25	25	25	26	23	24	25	25	25	26	23	24	25	23.1	23.1	23.1	136.06	1226	1226	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.8	21	21.8	19.9	21.1	20.8	317660000	43514000	69049000	45540000	33528000	70275000	55756000	4603800	630640	1000700	659990	485920	1018500	808050	47646000	47415000	49720000	35834000	46136000	42862000	20	24	18	15	21	17	115				1207	1333;1361;2601;2602;2952;3126;5472;5611;7175;7816;8032;8727;11171;11482;12551;12751;13250;13251;14932;14935;15031;15209;16054;16652;17010;20279;20280;21446	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1368;1401;2677;2678;3036;3220;5634;5780;7380;8041;8261;8967;11455;11772;12866;13072;13616;13617;15429;15432;15532;15713;16585;17201;17567;20927;20928;22131	8024;8025;8026;8027;8204;8205;8206;8207;8208;8209;15749;15750;15751;15752;15753;15754;15755;15756;15757;15758;17925;17926;17927;17928;17929;17930;18969;18970;18971;18972;18973;33374;33375;33376;33377;33378;33379;34212;34213;34214;34215;34216;34217;43847;43848;43849;43850;43851;47942;47943;47944;47945;47946;47947;47948;47949;47950;49328;49329;49330;49331;49332;49333;53564;53565;53566;53567;53568;53569;68813;68814;70764;70765;70766;70767;70768;70769;77403;77404;77405;77406;77407;78618;78619;78620;78621;78622;78623;78624;78625;78626;78627;78628;78629;81683;81684;81685;81686;81687;81688;81689;81690;81691;81692;81693;81694;81695;81696;92440;92441;92442;92443;92456;92457;92458;92459;92460;92461;93106;93107;93108;93109;93110;93111;94143;94144;94145;94146;94147;94148;99718;99719;99720;99721;99722;99723;103564;103565;103566;103567;103568;103569;103570;103571;105775;105776;105777;125803;125804;125805;125806;125807;125808;125809;125810;125811;125812;125813;125814;133073;133074	7627;7762;7763;15266;15267;15268;15269;15270;17304;18259;32415;32416;33292;33293;33294;33295;33296;33297;33298;33299;33300;33301;42742;42743;42744;46849;46850;46851;48235;48236;48237;48238;48239;48240;48241;48242;48243;48244;48245;48246;52299;52300;52301;52302;52303;52304;67334;67335;69273;69274;69275;69276;75809;75810;76963;76964;76965;76966;76967;76968;76969;76970;76971;76972;76973;76974;76975;76976;79671;79672;79673;79674;79675;79676;79677;79678;79679;79680;90089;90090;90097;90769;90770;90771;90772;90773;91770;97211;97212;97213;97214;97215;97216;97217;97218;97219;97220;100995;100996;100997;100998;100999;101000;103280;123735;123736;123737;123738;123739;123740;123741;123742;123743;123744;123745;130842;130843	7627;7762;15266;15269;17304;18259;32415;33295;42744;46850;48239;52299;67335;69273;75809;76966;79673;79679;90089;90097;90769;91770;97218;100997;103280;123736;123742;130842		
sp|P55327|TPD52_HUMAN	sp|P55327|TPD52_HUMAN	3	3	3	>sp|P55327|TPD52_HUMAN Tumor protein D52 OS=Homo sapiens GN=TPD52 PE=1 SV=2	1	3	3	3	2	2	1	3	1	3	2	2	1	3	1	3	2	2	1	3	1	3	16.1	16.1	16.1	24.327	224	224	0	By MS/MS	By matching	By matching	By MS/MS	By matching	By matching	11.2	11.2	4.5	16.1	6.7	16.1	4864600	1067700	385670	191280	1882400	114200	1223400	540510	118630	42852	21253	209150	12688	135930	1212900	574070	0	1729300	0	738640	1	0	0	3	0	0	4				1208	11133;19489;20203	True;True;True	11417;20119;20849	68578;68579;68580;68581;68582;120927;120928;125359;125360;125361;125362;125363	67147;67148;118441;123247	67148;118441;123247		
sp|P55769|NH2L1_HUMAN	sp|P55769|NH2L1_HUMAN	5	5	5	>sp|P55769|NH2L1_HUMAN NHP2-like protein 1 OS=Homo sapiens GN=SNU13 PE=1 SV=3	1	5	5	5	5	4	5	5	5	5	5	4	5	5	5	5	5	4	5	5	5	5	46.1	46.1	46.1	14.173	128	128	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	46.1	33.6	46.1	46.1	46.1	46.1	38175000	5963500	5465500	5407400	8317300	6692900	6328900	4771900	745430	683180	675920	1039700	836610	791110	6129500	4475300	5597700	8317600	4801500	4644000	7	5	5	5	7	7	36				1209	285;2156;11533;14687;15292	True;True;True;True;True	288;2222;11823;15179;15799	1589;1590;1591;1592;1593;13085;13086;13087;13088;13089;13090;71055;71056;71057;71058;71059;71060;91082;91083;91084;91085;91086;91087;94673;94674;94675;94676;94677;94678	1463;1464;12702;12703;12704;12705;12706;12707;12708;12709;12710;12711;12712;12713;12714;12715;69491;69492;69493;69494;69495;88836;88837;88838;88839;88840;88841;92318;92319;92320;92321;92322;92323;92324;92325;92326	1464;12710;69492;88838;92325		
sp|P55786|PSA_HUMAN;sp|A6NEC2|PSAL_HUMAN	sp|P55786|PSA_HUMAN	30;14	30;14	30;14	>sp|P55786|PSA_HUMAN Puromycin-sensitive aminopeptidase OS=Homo sapiens GN=NPEPPS PE=1 SV=2	2	30	30	30	24	27	23	24	29	26	24	27	23	24	29	26	24	27	23	24	29	26	36.8	36.8	36.8	103.28	919	919;478	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	26.1	31.7	26.8	29.3	35.8	33.6	314210000	32323000	72625000	38578000	36326000	80511000	53847000	6546100	673400	1513000	803710	756800	1677300	1121800	36203000	54437000	42965000	36965000	51798000	39826000	14	30	16	16	34	19	129				1210	604;644;745;1539;1840;2303;2920;3363;4680;4987;6751;7510;8175;10138;10696;11157;11231;11955;12532;13361;13670;15564;17671;19449;19980;19981;20865;22036;22037;22752	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	615;658;762;1585;1892;2372;3002;3461;4814;5134;6944;7726;8406;10412;10974;11441;11516;12256;12845;13747;14115;16079;18246;20078;20622;20623;21529;22736;22737;23472	3461;3462;3463;3464;3465;3466;3467;3468;3469;3470;3471;3696;4339;4340;4341;4342;4343;4344;9319;9320;9321;9322;9323;11119;11120;11121;11122;11123;11124;13895;13896;13897;13898;13899;13900;13901;13902;13903;17673;17674;20431;20432;20433;20434;20435;20436;28488;28489;28490;30310;30311;30312;30313;30314;30315;41234;41235;41236;41237;41238;41239;45893;45894;45895;45896;45897;45898;50216;50217;50218;50219;50220;50221;62486;62487;62488;62489;62490;62491;65933;65934;65935;65936;68725;68726;68727;68728;68729;68730;68731;68732;68733;68734;69167;69168;69169;69170;69171;69172;73761;73762;73763;73764;73765;73766;77267;77268;77269;77270;77271;77272;82444;82445;82446;82447;82448;84632;84633;96396;96397;96398;96399;96400;96401;109734;109735;109736;109737;109738;120664;120665;120666;120667;123945;123946;123947;123948;123949;123950;123951;123952;123953;129432;129433;129434;129435;129436;129437;136592;136593;136594;136595;136596;136597;136598;136599;136600;136601;136602;136603;141080;141081;141082;141083;141084;141085	3361;3362;3363;3364;3365;3366;3367;3368;3369;3585;4140;4141;8907;8908;10690;10691;10692;10693;13404;13405;13406;17071;17072;17073;19489;19490;19491;19492;27410;27411;27412;27413;29300;29301;29302;29303;29304;29305;29306;29307;29308;40085;40086;44672;44673;44674;44675;49081;49082;49083;61054;61055;61056;61057;61058;61059;64580;67279;67280;67281;67282;67283;67712;67713;67714;67715;67716;72247;72248;72249;72250;75692;75693;75694;75695;75696;75697;80375;82428;94099;94100;94101;94102;94103;94104;94105;94106;94107;106942;106943;106944;106945;118160;118161;121621;121622;121623;121624;121625;127464;127465;127466;127467;127468;134222;134223;134224;134225;134226;134227;134228;134229;134230;134231;134232;134233;134234;134235;134236;134237;139203;139204;139205;139206;139207;139208;139209;139210;139211;139212;139213;139214;139215;139216;139217	3362;3585;4141;8907;10693;13404;17072;19490;27412;29305;40086;44672;49082;61058;64580;67279;67716;72249;75693;80375;82428;94102;106944;118160;121624;121625;127468;134225;134231;139205		
sp|P55795|HNRH2_HUMAN	sp|P55795|HNRH2_HUMAN	10	3	3	>sp|P55795|HNRH2_HUMAN Heterogeneous nuclear ribonucleoprotein H2 OS=Homo sapiens GN=HNRNPH2 PE=1 SV=1	1	10	3	3	10	10	10	10	10	10	3	3	3	3	3	3	3	3	3	3	3	3	28.5	10	10	49.263	449	449	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	28.5	28.5	28.5	28.5	28.5	28.5	48038000	4376100	14943000	5476200	5514200	10095000	7632200	2825700	257420	879030	322130	324360	593840	448960	5778400	9780100	5689100	5768800	7178200	5644600	3	2	2	1	2	3	13				1211	1809;2871;7930;9129;9702;12322;18055;18885;20591;22261	True;False;False;True;False;False;False;False;False;True	1861;2952;8158;9381;9966;12634;18638;19496;21246;22967	10926;10927;10928;10929;10930;10931;10932;10933;10934;10935;10936;17381;17382;17383;17384;17385;17386;17387;17388;17389;17390;17391;48651;48652;48653;48654;48655;48656;48657;48658;48659;48660;48661;48662;48663;48664;48665;48666;48667;48668;56041;56042;56043;56044;56045;56046;59537;59538;59539;59540;59541;59542;75969;75970;75971;75972;75973;75974;112085;112086;112087;112088;112089;112090;117223;117224;117225;117226;117227;117228;127723;127724;127725;127726;127727;127728;127729;127730;127731;127732;127733;127734;138051;138052;138053;138054;138055;138056;138057;138058;138059;138060;138061	10440;10441;10442;10443;16845;16846;16847;16848;16849;16850;16851;47585;47586;47587;47588;47589;47590;47591;47592;47593;47594;47595;47596;47597;47598;47599;47600;47601;47602;47603;47604;47605;47606;47607;47608;47609;47610;47611;54978;54979;54980;54981;58360;58361;74351;74352;74353;74354;74355;74356;74357;109307;109308;109309;109310;109311;109312;109313;109314;109315;109316;114753;114754;114755;114756;114757;114758;125689;125690;125691;125692;125693;125694;125695;125696;125697;125698;125699;125700;125701;125702;125703;125704;125705;125706;125707;125708;125709;125710;125711;125712;125713;125714;125715;125716;125717;125718;125719;125720;125721;135941;135942;135943;135944;135945	10440;16849;47592;54978;58360;74354;109315;114758;125700;135944		
sp|P55884|EIF3B_HUMAN	sp|P55884|EIF3B_HUMAN	25	25	25	>sp|P55884|EIF3B_HUMAN Eukaryotic translation initiation factor 3 subunit B OS=Homo sapiens GN=EIF3B PE=1 SV=3	1	25	25	25	17	23	22	23	24	22	17	23	22	23	24	22	17	23	22	23	24	22	37.1	37.1	37.1	92.48	814	814	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	24.7	35.5	35.5	33.7	37.1	33.7	469790000	51530000	103720000	62874000	79387000	103640000	68635000	13050000	1431400	2881000	1746500	2205200	2879000	1906500	61217000	71967000	65206000	77134000	73087000	52990000	20	29	24	30	30	19	152				1212	1525;1656;2521;3088;4706;5024;6454;7161;7187;7334;9309;9378;13084;13468;13912;14137;15748;19213;19510;20128;21162;21565;21566;22012;22813	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1569;1704;2594;3182;4841;5173;6638;7366;7392;7541;9567;9638;13417;13418;13878;14360;14593;16266;19837;20140;20774;21843;22253;22254;22711;23534	9214;9215;9216;9217;9218;9219;10022;10023;10024;10025;15222;15223;15224;18755;18756;18757;18758;18759;28615;28616;28617;28618;28619;28620;30557;30558;30559;30560;30561;30562;30563;30564;30565;30566;30567;30568;30569;39433;39434;39435;39436;39437;39438;43775;43776;43777;43778;43779;43780;43904;43905;43906;43907;43908;43909;43910;43911;43912;43913;43914;43915;44806;44807;44808;44809;44810;44811;57141;57142;57143;57144;57145;57146;57147;57148;57149;57150;57151;57152;57566;57567;57568;57569;57570;57571;57572;57573;57574;57575;80551;80552;80553;80554;80555;80556;80557;80558;83225;83226;83227;83228;83229;83230;86078;86079;86080;86081;86082;87550;87551;87552;87553;87554;87555;97592;97593;97594;97595;97596;119227;119228;119229;119230;119231;119232;121064;121065;121066;121067;121068;121069;124901;124902;124903;124904;131308;131309;131310;131311;131312;131313;133762;133763;133764;133765;133766;133767;133768;133769;136454;141492;141493;141494;141495;141496;141497	8788;8789;8790;8791;8792;8793;8794;8795;8796;8797;8798;9586;9587;9588;9589;9590;14704;14705;14706;18064;18065;18066;27493;27494;27495;27496;27497;27498;29604;29605;29606;29607;29608;29609;29610;29611;29612;29613;29614;29615;29616;29617;29618;29619;29620;29621;29622;38451;38452;38453;38454;38455;42680;42681;42682;42683;42684;42685;42800;42801;42802;42803;42804;42805;42806;42807;42808;42809;42810;42811;42812;42813;42814;42815;42816;42817;42818;42819;42820;42821;43725;43726;43727;43728;43729;43730;56055;56056;56057;56058;56571;56572;78706;78707;78708;78709;78710;78711;78712;78713;78714;78715;78716;78717;78718;78719;78720;78721;78722;78723;81050;83781;85207;85208;85209;85210;85211;85212;95261;116761;116762;116763;116764;116765;116766;116767;116768;118558;118559;118560;118561;118562;118563;122791;122792;129143;129144;129145;129146;131460;131461;131462;131463;131464;131465;131466;131467;131468;131469;131470;131471;131472;134083;139717	8790;9586;14704;18065;27497;29605;38454;42680;42817;43728;56057;56572;78718;81050;83781;85210;95261;116762;118559;122791;129143;131462;131472;134083;139717	536	769
sp|P55957|BID_HUMAN	sp|P55957|BID_HUMAN	2	2	2	>sp|P55957|BID_HUMAN BH3-interacting domain death agonist OS=Homo sapiens GN=BID PE=1 SV=1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	12.3	12.3	12.3	21.994	195	195	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	12.3	12.3	12.3	12.3	12.3	12.3	6099200	991740	1289700	867090	185310	1381400	1383900	609920	99174	128970	86709	18531	138140	138390	1015100	1003300	917170	0	1008200	1013000	3	4	3	1	2	2	15				1213	7660;8236	True;True	7880;8467	46924;46925;46926;46927;46928;46929;50540;50541;50542;50543;50544;50545	45741;45742;45743;45744;45745;45746;45747;45748;45749;45750;49344;49345;49346;49347;49348	45741;49346		
