Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides JURKAT-KO1	Peptides JURKAT-KO2	Peptides JURKAT-KO3	Peptides JURKAT-WT1	Peptides JURKAT-WT2	Peptides JURKAT-WT3	Razor + unique peptides JURKAT-KO1	Razor + unique peptides JURKAT-KO2	Razor + unique peptides JURKAT-KO3	Razor + unique peptides JURKAT-WT1	Razor + unique peptides JURKAT-WT2	Razor + unique peptides JURKAT-WT3	Unique peptides JURKAT-KO1	Unique peptides JURKAT-KO2	Unique peptides JURKAT-KO3	Unique peptides JURKAT-WT1	Unique peptides JURKAT-WT2	Unique peptides JURKAT-WT3	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Identification type JURKAT-KO1	Identification type JURKAT-KO2	Identification type JURKAT-KO3	Identification type JURKAT-WT1	Identification type JURKAT-WT2	Identification type JURKAT-WT3	Sequence coverage JURKAT-KO1 [%]	Sequence coverage JURKAT-KO2 [%]	Sequence coverage JURKAT-KO3 [%]	Sequence coverage JURKAT-WT1 [%]	Sequence coverage JURKAT-WT2 [%]	Sequence coverage JURKAT-WT3 [%]	Intensity	Intensity JURKAT-KO1	Intensity JURKAT-KO2	Intensity JURKAT-KO3	Intensity JURKAT-WT1	Intensity JURKAT-WT2	Intensity JURKAT-WT3	iBAQ	iBAQ JURKAT-KO1	iBAQ JURKAT-KO2	iBAQ JURKAT-KO3	iBAQ JURKAT-WT1	iBAQ JURKAT-WT2	iBAQ JURKAT-WT3	LFQ intensity JURKAT-KO1	LFQ intensity JURKAT-KO2	LFQ intensity JURKAT-KO3	LFQ intensity JURKAT-WT1	LFQ intensity JURKAT-WT2	LFQ intensity JURKAT-WT3	MS/MS Count JURKAT-KO1	MS/MS Count JURKAT-KO2	MS/MS Count JURKAT-KO3	MS/MS Count JURKAT-WT1	MS/MS Count JURKAT-WT2	MS/MS Count JURKAT-WT3	MS/MS Count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
sp|P11021|GRP78_HUMAN	sp|P11021|GRP78_HUMAN	24	23	23	>sp|P11021|GRP78_HUMAN 78 kDa glucose-regulated protein OS=Homo sapiens GN=HSPA5 PE=1 SV=2	1	24	23	23	23	22	22	23	23	23	22	21	21	22	22	22	22	21	21	22	22	22	37.5	35	35	72.332	654	654	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	37.5	32.6	32.6	34.7	34.7	36.2	1658100000	394560000	216050000	217420000	470120000	210780000	149120000	55269000	13152000	7201600	7247400	15671000	7026000	4970800	541110000	235930000	194090000	461890000	242420000	209770000	57	35	27	54	38	31	242				496	1705;2116;2292;2531;2532;2787;4552;4826;5266;5276;5277;5514;5720;7450;7715;7791;8200;9115;10321;10528;11679;11680;12098;12281	True;True;True;True;True;True;True;False;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1728;2144;2322;2565;2566;2824;2825;4610;4884;5335;5345;5346;5587;5794;7544;7852;7930;8350;9278;10504;10505;10715;11884;11885;12308;12492	10548;10549;13228;13229;13230;13231;13232;13233;13234;13235;13236;13237;13238;13239;13240;14346;14347;14348;14349;14350;14351;15877;15878;15879;15880;15881;15882;15883;15884;15885;15886;15887;15888;17444;17445;17446;17447;17448;17449;17450;17451;17452;17453;17454;17455;28680;28681;28682;28683;28684;28685;28686;28687;28688;28689;28690;28691;30337;30338;30339;30340;30341;30342;33137;33138;33139;33140;33141;33142;33196;33197;33198;33199;33200;33201;33202;33203;33204;33205;33206;33207;34736;34737;34738;34739;34740;34741;34742;34743;34744;34745;34746;34747;36206;36207;36208;36209;36210;36211;36212;46983;46984;46985;46986;46987;46988;46989;46990;46991;46992;46993;46994;48678;48679;48680;48681;48682;48683;49168;49169;49170;49171;49172;49173;49174;49175;49176;49177;49178;49179;51668;51669;51670;51671;51672;57608;57609;57610;57611;57612;57613;65091;65092;65093;65094;65095;65096;65097;65098;66398;66399;66400;66401;66402;66403;66404;66405;66406;66407;66408;66409;73668;73669;73670;73671;73672;73673;73674;73675;73676;73677;73678;76235;76236;76237;76238;76239;76240;76241;76242;76243;76244;76245;76246;77403;77404;77405;77406;77407;77408;77409;77410;77411;77412;77413;77414	10747;13480;13481;13482;13483;13484;13485;13486;13487;13488;13489;13490;13491;13492;13493;13494;13495;13496;13497;13498;13499;13500;13501;13502;13503;13504;13505;13506;13507;14646;14647;16159;16160;16161;16162;16163;16164;16165;16166;16167;16168;16169;16170;16171;16172;16173;16174;17772;17773;17774;17775;17776;17777;17778;17779;17780;17781;29658;29659;29660;29661;31431;31432;31433;31434;31435;31436;31437;31438;31439;31440;31441;31442;34580;34581;34582;34583;34584;34585;34586;34587;34588;34589;34590;34591;34592;34593;34594;34595;34596;34597;34598;34599;34600;34601;34602;34638;34639;34640;34641;34642;34643;34644;34645;34646;34647;34648;36207;36208;36209;36210;36211;36212;36213;36214;36215;36216;36217;37575;37576;37577;37578;37579;37580;48552;48553;48554;48555;48556;48557;48558;48559;48560;48561;48562;48563;48564;48565;48566;50232;50233;50691;50692;50693;50694;50695;50696;50697;50698;50699;50700;50701;50702;50703;50704;50705;50706;50707;50708;50709;50710;50711;53081;59051;59052;59053;59054;59055;59056;59057;59058;59059;59060;67024;67025;67026;67027;67028;67029;68286;68287;68288;68289;68290;68291;68292;68293;68294;68295;76107;76108;76109;76110;76111;76112;76113;76114;76115;76116;76117;76118;76119;76120;76121;76122;76123;76124;76125;76126;76127;76128;78652;78653;78654;78655;78656;78657;78658;78659;78660;78661;78662;78663;78664;78665;78666;78667;78668;78669;78670;78671;79891;79892;79893;79894;79895;79896;79897;79898;79899;79900;79901;79902;79903;79904;79905;79906;79907;79908;79909;79910;79911;79912;79913;79914	10747;13486;14647;16159;16162;17772;29660;31438;34583;34638;34647;36213;37575;48553;50233;50694;53081;59051;67026;68293;76107;76125;78660;79911	155;156	148;332
sp|P11117|PPAL_HUMAN	sp|P11117|PPAL_HUMAN	2	2	2	>sp|P11117|PPAL_HUMAN Lysosomal acid phosphatase OS=Homo sapiens GN=ACP2 PE=1 SV=3	1	2	2	2	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	2	1	1	3.5	3.5	3.5	48.344	423	423	0	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	3.5	1.7	1.7	3.5	1.7	1.7	26169000	5922200	2581400	3287200	10508000	2416400	1453600	1377300	311690	135860	173010	553050	127180	76506	7373500	0	0	10636000	0	0	2	1	0	2	1	1	7				497	3198;7204	True;True	3241;7294	20036;20037;20038;20039;20040;20041;45467;45468	20419;20420;20421;20422;47255;47256;47257	20422;47257		
sp|P11142|HSP7C_HUMAN;sp|P54652|HSP72_HUMAN	sp|P11142|HSP7C_HUMAN	32;13	32;13	25;7	>sp|P11142|HSP7C_HUMAN Heat shock cognate 71 kDa protein OS=Homo sapiens GN=HSPA8 PE=1 SV=1	2	32	32	25	32	31	30	30	31	31	32	31	30	30	31	31	25	24	23	23	24	24	46.4	46.4	39.6	70.897	646	646;639	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	46.4	44.3	44.3	44.3	46.4	46.4	4110100000	608080000	718300000	837870000	622490000	760750000	562640000	124550000	18427000	21767000	25390000	18863000	23053000	17050000	802020000	848350000	789010000	605060000	863060000	769150000	66	64	57	63	66	43	359				498	972;973;1343;1709;2065;2205;2730;2786;3956;4408;4826;4827;5264;5265;6692;6693;7607;7608;8081;8082;8086;8130;8608;8819;9284;9442;9763;9914;10916;11010;11185;11966	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	982;983;1362;1732;2093;2234;2765;2766;2823;4005;4465;4884;4885;5333;5334;6772;6773;7740;7741;7742;8226;8227;8231;8232;8276;8277;8763;8764;8980;9452;9613;9941;10093;11112;11209;11387;12175	5938;5939;5940;5941;5942;5943;5944;5945;5946;5947;5948;5949;5950;5951;5952;5953;8215;8216;8217;8218;8219;8220;8221;10581;10582;10583;10584;10585;10586;10587;10588;10589;12884;12885;12886;12887;12888;12889;12890;13824;13825;13826;13827;13828;13829;17093;17094;17095;17096;17097;17438;17439;17440;17441;17442;17443;24827;24828;24829;24830;24831;24832;27747;27748;27749;30337;30338;30339;30340;30341;30342;30343;30344;30345;30346;30347;30348;30349;30350;30351;30352;30353;30354;33124;33125;33126;33127;33128;33129;33130;33131;33132;33133;33134;33135;33136;42268;42269;42270;42271;42272;42273;42274;42275;42276;42277;42278;42279;48043;48044;48045;48046;48047;48048;48049;48050;48051;48052;48053;48054;48055;48056;48057;48058;48059;48060;48061;48062;48063;48064;50949;50950;50951;50952;50953;50954;50955;50956;50957;50958;50959;50960;50961;50962;50963;50964;50965;50966;50985;50986;50987;50988;50989;50990;50991;50992;50993;50994;50995;50996;51268;51269;51270;51271;51272;51273;51274;51275;51276;51277;51278;51279;54162;54163;54164;54165;54166;54167;54168;54169;54170;54171;54172;54173;54174;54175;54176;54177;54178;54179;54180;54181;54182;54183;55609;55610;55611;55612;55613;55614;58687;58688;58689;58690;58691;58692;59653;59654;59655;59656;59657;59658;61666;61667;61668;61669;61670;61671;61672;61673;61674;61675;61676;61677;62626;62627;62628;62629;62630;62631;62632;62633;62634;62635;62636;62637;68805;68806;68807;68808;68809;68810;69433;69434;69435;69436;69437;69438;69439;69440;69441;69442;69443;69444;70582;70583;70584;70585;70586;70587;75403;75404;75405;75406;75407;75408;75409;75410;75411;75412;75413;75414	6151;6152;6153;6154;6155;6156;6157;6158;6159;6160;6161;6162;8445;8446;8447;8448;8449;10780;10781;10782;10783;10784;10785;10786;10787;10788;10789;10790;10791;10792;10793;10794;10795;10796;10797;10798;10799;10800;13130;13131;13132;13133;13134;14166;14167;14168;14169;14170;14171;14172;14173;14174;14175;14176;14177;14178;14179;14180;14181;14182;17356;17357;17358;17359;17360;17361;17362;17767;17768;17769;17770;17771;25640;25641;25642;25643;25644;25645;25646;25647;25648;25649;25650;28620;28621;31431;31432;31433;31434;31435;31436;31437;31438;31439;31440;31441;31442;31443;31444;31445;34566;34567;34568;34569;34570;34571;34572;34573;34574;34575;34576;34577;34578;34579;43932;43933;43934;43935;43936;43937;43938;43939;43940;43941;43942;43943;43944;43945;43946;43947;43948;49579;49580;49581;49582;49583;49584;49585;49586;49587;49588;49589;49590;49591;52409;52410;52411;52412;52413;52414;52415;52416;52417;52418;52419;52420;52421;52422;52423;52424;52425;52426;52427;52428;52429;52430;52431;52432;52433;52434;52447;52448;52449;52450;52451;52452;52453;52454;52455;52456;52457;52458;52459;52460;52461;52462;52675;52676;52677;52678;52679;52680;52681;52682;52683;52684;52685;52686;52687;55481;55482;55483;55484;55485;55486;55487;55488;55489;55490;55491;55492;55493;55494;55495;55496;55497;55498;55499;55500;55501;56961;56962;60209;60210;60211;60212;60213;60214;61309;61310;61311;61312;63238;63239;63240;63241;63242;63243;63244;63245;63246;63247;63248;63249;63250;63251;63252;63253;63254;63255;63256;63257;63258;63259;63260;63261;63262;63263;63264;63265;63266;63267;63268;63269;63270;63271;64244;64245;64246;64247;64248;64249;64250;64251;64252;64253;64254;64255;64256;64257;64258;64259;64260;64261;64262;64263;64264;64265;64266;64267;64268;64269;64270;64271;64272;64273;64274;64275;64276;70689;70690;70691;70692;70693;70694;70695;70696;70697;70698;70699;70700;70701;70702;70703;70704;70705;70706;71369;71370;71371;71372;71373;71374;71375;71376;71377;71378;71379;71380;71381;71382;71383;71384;71385;71386;72794;72795;72796;72797;72798;72799;72800;72801;72802;72803;77883;77884;77885;77886;77887;77888;77889;77890;77891;77892;77893;77894;77895;77896;77897;77898;77899	6156;6159;8449;10786;13131;14167;17359;17769;25643;28621;31438;31445;34574;34579;43939;43944;49583;49585;52409;52417;52448;52679;55485;56961;60209;61311;63270;64253;70690;71378;72795;77888	157;158;159;160;161	61;87;93;237;549
sp|P11166|GTR1_HUMAN	sp|P11166|GTR1_HUMAN	8	8	8	>sp|P11166|GTR1_HUMAN Solute carrier family 2, facilitated glucose transporter member 1 OS=Homo sapiens GN=SLC2A1 PE=1 SV=2	1	8	8	8	8	8	6	7	7	8	8	8	6	7	7	8	8	8	6	7	7	8	13.8	13.8	13.8	54.083	492	492	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	13.8	13.8	13.4	13.4	13.8	13.8	1911600000	205020000	400550000	389030000	229970000	413980000	273080000	147050000	15770000	30812000	29926000	17690000	31844000	21006000	232410000	496040000	331910000	209520000	522850000	354070000	20	28	22	23	29	21	143				499	2980;2981;3842;3923;3924;7032;8373;10322	True;True;True;True;True;True;True;True	3020;3021;3890;3971;3972;3973;7120;7121;8524;10506	18661;18662;18663;18664;18665;18666;18667;18668;18669;18670;18671;18672;18673;18674;18675;18676;24103;24104;24105;24106;24107;24108;24109;24110;24111;24112;24113;24114;24584;24585;24586;24587;24588;24589;24590;24591;24592;24593;24594;24595;24596;24597;24598;24599;24600;24601;24602;24603;24604;24605;44388;44389;44390;44391;44392;44393;44394;44395;44396;44397;44398;44399;52706;52707;52708;52709;52710;52711;65099;65100;65101;65102;65103;65104	19059;19060;19061;19062;19063;19064;19065;19066;19067;19068;19069;19070;19071;19072;19073;19074;19075;19076;19077;19078;19079;19080;19081;19082;19083;19084;19085;19086;19087;19088;19089;19090;19091;19092;24784;24785;24786;24787;24788;24789;24790;24791;24792;24793;24794;24795;24796;25358;25359;25360;25361;25362;25363;25364;25365;25366;25367;25368;25369;25370;25371;25372;25373;25374;25375;25376;25377;25378;25379;25380;25381;25382;25383;25384;25385;25386;25387;25388;25389;25390;25391;25392;25393;25394;25395;25396;25397;25398;46014;46015;46016;46017;46018;46019;46020;46021;46022;46023;46024;46025;46026;46027;46028;46029;46030;46031;46032;46033;46034;46035;54061;54062;54063;54064;67030;67031;67032;67033;67034;67035;67036;67037;67038;67039;67040;67041;67042;67043;67044;67045;67046;67047;67048;67049;67050;67051;67052;67053;67054;67055;67056;67057;67058	19083;19092;24787;25358;25392;46026;54062;67041	162	244
sp|P11169|GTR3_HUMAN;sp|Q8TDB8|GTR14_HUMAN	sp|P11169|GTR3_HUMAN;sp|Q8TDB8|GTR14_HUMAN	4;4	4;4	4;4	>sp|P11169|GTR3_HUMAN Solute carrier family 2, facilitated glucose transporter member 3 OS=Homo sapiens GN=SLC2A3 PE=1 SV=1;>sp|Q8TDB8|GTR14_HUMAN Solute carrier family 2, facilitated glucose transporter member 14 OS=Homo sapiens GN=SLC2A14 PE=2 SV=1	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	5.4	5.4	5.4	53.924	496	496;520	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	5.4	5.4	5.4	5.4	5.4	5.4	273880000	14240000	55585000	60305000	36515000	56126000	51111000	27388000	1424000	5558500	6030500	3651500	5612600	5111100	26171000	60634000	53055000	38720000	73962000	64591000	2	6	4	5	6	4	27				500	356;2979;3843;10327	True;True;True;True	358;3019;3891;10511	2088;2089;2090;2091;2092;2093;2094;2095;2096;2097;2098;2099;18655;18656;18657;18658;18659;18660;24115;24116;24117;24118;24119;24120;65127;65128;65129;65130;65131;65132	2298;2299;2300;2301;2302;2303;2304;2305;19058;24797;24798;24799;24800;24801;24802;24803;24804;24805;24806;67087;67088;67089;67090;67091;67092;67093;67094;67095	2298;19058;24799;67087		
sp|P11171|41_HUMAN	sp|P11171|41_HUMAN	3	3	3	>sp|P11171|41_HUMAN Protein 4.1 OS=Homo sapiens GN=EPB41 PE=1 SV=4	1	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	2	3	3	3	3	3	5.6	5.6	5.6	97.016	864	864	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	3.5	5.6	5.6	5.6	5.6	5.6	23106000	1942400	3661600	6414700	3879300	3417500	3790900	537360	45172	85154	149180	90216	79478	88161	3821300	3842200	5801100	3591200	3949000	5217700	2	2	3	2	1	3	13				501	5151;10597;10784	True;True;True	5216;10787;10977	32408;32409;32410;32411;32412;32413;66814;66815;66816;66817;66818;67995;67996;67997;67998;67999;68000	33848;33849;68765;68766;69885;69886;69887;69888;69889;69890;69891;69892;69893;69894	33848;68765;69886		
sp|P11172|UMPS_HUMAN	sp|P11172|UMPS_HUMAN	5	5	5	>sp|P11172|UMPS_HUMAN Uridine 5-monophosphate synthase OS=Homo sapiens GN=UMPS PE=1 SV=1	1	5	5	5	4	5	5	4	5	5	4	5	5	4	5	5	4	5	5	4	5	5	11.5	11.5	11.5	52.221	480	480	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10	11.5	11.5	10	11.5	11.5	38550000	5554100	6991500	6857000	5991500	7184400	5971400	1482700	213620	268900	263730	230440	276320	229670	8385300	6703800	7415700	6976400	8101300	7282800	1	0	3	4	4	1	13				502	2380;2675;8660;9336;12078	True;True;True;True;True	2410;2710;8816;9504;12288	14889;14890;14891;14892;16766;16767;16768;16769;16770;16771;54538;54539;54540;54541;54542;54543;54544;54545;54546;54547;54548;54549;58994;58995;58996;58997;58998;58999;76125;76126;76127;76128;76129;76130	15115;15116;17042;17043;17044;17045;55883;55884;55885;55886;55887;55888;55889;60607;60608;78518;78519	15115;17045;55885;60607;78519		
sp|P11177|ODPB_HUMAN	sp|P11177|ODPB_HUMAN	4	4	4	>sp|P11177|ODPB_HUMAN Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens GN=PDHB PE=1 SV=3	1	4	4	4	3	4	3	3	4	4	3	4	3	3	4	4	3	4	3	3	4	4	15	15	15	39.233	359	359	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	10.6	15	10.6	10.6	15	15	40990000	3751500	8694400	10104000	5414300	7612500	5412900	1951900	178640	414020	481140	257830	362500	257760	5048500	10240000	10014000	5983600	8531300	6972700	3	4	4	3	3	3	20				503	1350;4896;11398;12249	True;True;True;True	1369;4957;11601;12460	8267;8268;8269;30837;30838;30839;30840;30841;30842;71938;71939;71940;71941;71942;71943;77195;77196;77197;77198;77199;77200	8507;31917;31918;31919;31920;31921;31922;31923;31924;31925;31926;31927;31928;74259;74260;74261;74262;74263;74264;79653	8507;31922;74263;79653		
sp|P11279|LAMP1_HUMAN	sp|P11279|LAMP1_HUMAN	4	4	4	>sp|P11279|LAMP1_HUMAN Lysosome-associated membrane glycoprotein 1 OS=Homo sapiens GN=LAMP1 PE=1 SV=3	1	4	4	4	4	3	4	3	3	4	4	3	4	3	3	4	4	3	4	3	3	4	7	7	7	44.882	417	417	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7	4.3	7	4.3	7	7	205170000	29561000	26878000	30360000	64787000	20781000	32805000	10799000	1555900	1414600	1597900	3409900	1093800	1726600	43162000	29732000	25109000	74876000	26409000	34728000	7	2	4	6	3	1	23				504	720;8917;9378;10945	True;True;True;True	726;9078;9548;11142	4399;4400;4401;4402;56275;56276;56277;56278;56279;56280;59270;59271;59272;59273;59274;68985;68986;68987;68988;68989;68990	4630;4631;4632;4633;57573;57574;57575;57576;57577;57578;60941;60942;60943;60944;60945;60946;60947;70915;70916;70917;70918;70919;70920	4631;57575;60942;70917		
sp|P11310|ACADM_HUMAN	sp|P11310|ACADM_HUMAN	2	2	2	>sp|P11310|ACADM_HUMAN Medium-chain specific acyl-CoA dehydrogenase, mitochondrial OS=Homo sapiens GN=ACADM PE=1 SV=1	1	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	6.7	6.7	6.7	46.588	421	421	0	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By matching	6.7	6.7	6.7	6.7	6.7	6.7	7509000	1684600	1137400	1555800	1479000	702860	949350	375450	84231	56868	77791	73949	35143	47467	1864500	1517800	0	1537900	0	0	1	1	0	1	0	0	3				505	5412;10802	True;True	5483;10995	34020;34021;34022;34023;34024;34025;68097;68098;68099;68100;68101;68102	35435;69948;69949	35435;69948		
sp|P11387|TOP1_HUMAN;sp|Q969P6|TOP1M_HUMAN	sp|P11387|TOP1_HUMAN	8;2	8;2	8;2	>sp|P11387|TOP1_HUMAN DNA topoisomerase 1 OS=Homo sapiens GN=TOP1 PE=1 SV=2	2	8	8	8	8	7	7	8	5	7	8	7	7	8	5	7	8	7	7	8	5	7	11.5	11.5	11.5	90.725	765	765;601	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	11.5	10.3	10.3	11.5	7.6	10.3	220630000	37158000	27469000	41937000	57315000	21558000	35192000	5806000	977850	722860	1103600	1508300	567320	926100	43938000	32490000	41270000	50692000	32705000	51116000	12	7	7	11	8	7	52				506	1155;2387;3788;4612;6145;11048;11901;12839	True;True;True;True;True;True;True;True	1169;2417;3835;4670;6222;11248;12109;13057	7035;7036;7037;7038;7039;7040;14923;14924;14925;14926;14927;14928;23757;23758;23759;23760;23761;23762;29043;29044;29045;29046;29047;38847;38848;38849;38850;38851;38852;38853;38854;38855;38856;38857;38858;69684;69685;69686;69687;69688;75009;75010;80865;80866;80867;80868;80869;80870	7219;7220;15138;15139;15140;15141;15142;15143;15144;15145;15146;15147;15148;15149;15150;15151;24477;24478;30016;40467;40468;40469;40470;40471;40472;40473;40474;40475;40476;40477;40478;40479;40480;40481;40482;40483;40484;40485;40486;40487;71662;71663;71664;77395;83536;83537;83538;83539;83540;83541;83542;83543	7219;15151;24478;30016;40470;71662;77395;83536		
sp|P11388|TOP2A_HUMAN	sp|P11388|TOP2A_HUMAN	37	37	27	>sp|P11388|TOP2A_HUMAN DNA topoisomerase 2-alpha OS=Homo sapiens GN=TOP2A PE=1 SV=3	1	37	37	27	33	31	34	34	33	36	33	31	34	34	33	36	25	23	25	25	26	26	23.1	23.1	17.8	174.38	1531	1531	0	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	21.2	19.6	21.2	20.9	20.7	22.3	973930000	138010000	150150000	192060000	205930000	144050000	143730000	12024000	1703800	1853600	2371100	2542400	1778500	1774400	169750000	171610000	199330000	204900000	180890000	190120000	30	27	25	36	26	31	175				507	1274;2018;2319;2438;2622;2642;2955;3003;3158;3433;3607;4054;4379;4645;4818;5331;5664;5708;5927;5954;7721;7722;8155;8272;8273;8349;8524;8547;9258;10535;10711;10712;10771;11399;11707;12501;12723	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	1290;2045;2349;2470;2657;2677;2995;3043;3201;3477;3652;4105;4436;4703;4876;5401;5737;5781;6004;6031;7858;7859;8303;8423;8424;8500;8679;8702;9425;10722;10903;10904;10963;11602;11912;12712;12940	7741;7742;7743;7744;7745;7746;12565;12566;12567;12568;12569;12570;14501;14502;14503;14504;15258;15259;15260;15261;15262;15263;16464;16465;16466;16467;16468;16469;16581;16582;16583;18465;18466;18467;18468;18469;18470;18808;18809;18810;19783;19784;19785;19786;19787;19788;21457;21458;21459;21460;21461;22663;22664;22665;22666;22667;22668;25425;25426;25427;25428;25429;25430;27550;27551;27552;27553;27554;27555;27556;27557;27558;27559;29219;29220;29221;29222;29223;30294;30295;30296;30297;30298;30299;33527;33528;33529;33530;33531;33532;35780;35781;35782;35783;35784;35785;36116;36117;36118;36119;36120;37555;37556;37557;37558;37559;37560;37708;37709;37710;37711;48712;48713;48714;48715;48716;48717;48718;48719;48720;48721;48722;48723;51413;51414;51415;51416;51417;51418;52101;52102;52103;52104;52105;52106;52107;52108;52109;52110;52111;52112;52545;52546;52547;53639;53640;53641;53642;53643;53644;53793;53794;53795;53796;53797;53798;58537;58538;58539;58540;58541;58542;66456;66457;66458;66459;66460;66461;67500;67501;67502;67503;67504;67505;67506;67507;67508;67509;67510;67511;67512;67513;67514;67515;67516;67517;67927;71944;71945;71946;71947;71948;71949;73831;73832;73833;73834;73835;73836;78724;78725;78726;78727;78728;78729;80149;80150;80151;80152;80153;80154	8034;8035;8036;12817;12818;12819;12820;14813;14814;14815;14816;15487;15488;16773;16774;16775;16776;16777;16875;18820;18821;19202;19203;20196;20197;21800;21801;23188;23189;23190;23191;23192;23193;23194;23195;23196;23197;26194;28423;28424;28425;28426;28427;28428;28429;28430;28431;28432;28433;28434;28435;28436;28437;28438;28439;28440;28441;28442;30168;30169;30170;30171;30172;30173;31377;31378;31379;31380;34932;34933;34934;34935;34936;34937;34938;37127;37128;37129;37130;37131;37132;37504;39039;39040;39041;39042;39043;39044;39045;39046;39181;39182;39183;39184;50264;50265;50266;50267;50268;50269;52847;52848;52849;53525;53526;53527;53528;53529;53530;53531;53532;53533;53534;53535;53536;53537;53928;54938;54939;54940;55104;55105;55106;55107;55108;55109;55110;55111;55112;55113;55114;55115;55116;60050;60051;60052;60053;60054;60055;60056;60057;60058;60059;60060;60061;68359;69422;69423;69424;69425;69426;69427;69428;69429;69430;69431;69432;69433;69829;74265;74266;74267;74268;74269;74270;76296;81338;81339;82816;82817;82818;82819;82820;82821;82822	8036;12817;14816;15487;16774;16875;18820;19203;20196;21800;23195;26194;28424;30171;31380;34933;37131;37504;39039;39181;50264;50265;52847;53530;53536;53928;54938;55108;60051;68359;69423;69425;69829;74266;76296;81339;82817	163	1207
sp|P11413|G6PD_HUMAN	sp|P11413|G6PD_HUMAN	6	6	6	>sp|P11413|G6PD_HUMAN Glucose-6-phosphate 1-dehydrogenase OS=Homo sapiens GN=G6PD PE=1 SV=4	1	6	6	6	5	5	5	5	4	6	5	5	5	5	4	6	5	5	5	5	4	6	13.2	13.2	13.2	59.256	515	515	0	By MS/MS	By MS/MS	By matching	By MS/MS	By matching	By MS/MS	11.7	11.7	11.7	11.7	8.5	13.2	33294000	8230300	5212600	6028000	6032900	3708000	4082100	951250	235150	148930	172230	172370	105940	116630	12241000	5334700	5140900	5627800	5009700	5169300	4	1	0	2	0	1	8				508	325;4072;6223;8164;8803;8978	True;True;True;True;True;True	327;4124;6301;8313;8964;9139	1920;25528;25529;25530;25531;25532;25533;39324;39325;39326;39327;39328;51471;51472;51473;51474;51475;51476;55506;55507;55508;55509;55510;55511;56702;56703;56704;56705;56706;56707	2156;26268;26269;40888;52898;52899;56846;58124	2156;26268;40888;52899;56846;58124		
